No.,Company Name,Stock Price,Market Cap,Symbol,Industry
126,Intuit Inc.,416.44,115.17B,INTU,Software - Application
127,Sanofi,46.78,114.09B,SNY,Drug Manufacturers - General
128,UBS Group AG,36.41,112.57B,UBS,Banks - Diversified
129,Parker-Hannifin Corporation,888.44,112.14B,PH,Specialty Industrial Machinery
130,Medtronic plc,87.14,111.88B,MDT,Medical Devices
131,"Altria Group, Inc.",66.48,111.15B,MO,Tobacco
132,Newmont Corporation,102.10,111.07B,NEM,Gold
133,Dell Technologies Inc.,171.81,110.95B,DELL,Computer Hardware
134,Vertex Pharmaceuticals Incorporated,433.07,110.01B,VRTX,Biotechnology
135,GSK plc,53.84,109.56B,GSK,Drug Manufacturers - General
136,Capital One Financial Corporation,176.10,109.52B,COF,Credit Services
137,Constellation Energy Corporation,301.49,109.14B,CEG,Utilities - Independent Power Producers
138,Rio Tinto Group,86.64,108.69B,RIO,Other Industrial Metals & Mining
139,The Southern Company,95.55,106.96B,SO,Utilities - Regulated Electric
140,The Southern Company,51.22,106.81B,SOMN,Utilities - Regulated Electric
141,"HCA Healthcare, Inc.",471.85,105.52B,HCA,Medical Care Facilities
142,McKesson Corporation,860.16,105.36B,MCK,Medical Distribution
143,CME Group Inc.,293.78,105.36B,CME,Financial Data & Stock Exchanges
144,"ServiceNow, Inc.",99.41,103.98B,NOW,Software - Application
145,Equinor ASA,41.53,103.84B,EQNR,Oil & Gas Integrated
146,Boston Scientific Corporation,69.17,102.64B,BSX,Medical Devices
147,Comcast Corporation,28.33,101.93B,CMCSA,Telecom Services
148,Canadian Natural Resources Limited,50.09,101.75B,CNQ,Oil & Gas Exploration & Production
149,Duke Energy Corporation,129.99,101.09B,DUK,Utilities - Regulated Electric
150,Starbucks Corporation,86.81,98.90B,SBUX,Restaurants
151,Spotify Technology S.A.,472.48,97.25B,SPOT,Internet Content & Information
152,Agnico Eagle Mines Limited,193.40,96.89B,AEM,Gold
153,Northrop Grumman Corporation,679.00,96.36B,NOC,Aerospace & Defense
154,Vertiv Holdings Co,251.07,96.06B,VRT,Electrical Equipment & Parts
155,Adobe Inc.,234.84,94.92B,ADBE,Software - Application
156,"Equinix, Inc.",963.00,94.62B,EQIX,REIT - Specialty
157,General Dynamics Corporation,346.76,93.76B,GD,Aerospace & Defense
158,"CrowdStrike Holdings, Inc.",369.58,93.73B,CRWD,Software - Infrastructure
159,Bank of Montreal,131.76,93.44B,BMO,Banks - Diversified
160,Western Digital Corporation,275.34,93.35B,WDC,Computer Hardware
161,Howmet Aerospace Inc.,227.90,91.37B,HWM,Aerospace & Defense
162,Sandisk Corporation,615.83,90.88B,SNDK,Computer Hardware
163,Trane Technologies plc,410.23,90.80B,TT,Building Products & Equipment
164,"Waste Management, Inc.",225.06,90.77B,WM,Waste Management
165,ICICI Bank Limited,25.30,90.37B,IBN,Banks - Regional
166,"The Williams Companies, Inc.",73.58,89.88B,WMB,Oil & Gas Midstream
167,CVS Health Corporation,70.08,89.16B,CVS,Healthcare Plans
168,Brookfield Corporation,39.00,88.78B,BN,Asset Management
169,Canadian Imperial Bank of Commerce,92.76,86.88B,CM,Banks - Diversified
170,ItaÃº Unibanco Holding S.A.,7.87,86.78B,ITUB,Banks - Regional
171,"Intercontinental Exchange, Inc.",152.67,86.70B,ICE,Financial Data & Stock Exchanges
172,Enterprise Products Partners L.P.,39.28,84.91B,EPD,Oil & Gas Midstream
173,"Marriott International, Inc.",317.54,84.14B,MAR,Lodging
174,The Bank of Nova Scotia,67.71,83.59B,BNS,Banks - Diversified
175,"Marvell Technology, Inc.",94.88,82.95B,MRVL,Semiconductors
176,Seagate Technology Holdings plc,380.07,82.88B,STX,Computer Hardware
177,"Installed Building Products, Inc.",262.33,82.79B,IBP,Residential Construction
178,"Quanta Services, Inc.",549.98,82.29B,PWR,Engineering & Construction
179,FedEx Corporation,343.97,82.07B,FDX,Integrated Freight & Logistics
180,"Marsh & McLennan Companies, Inc.",169.17,81.90B,MRSH,Insurance Brokers
181,"The PNC Financial Services Group, Inc.",202.39,81.64B,PNC,Banks - Regional
182,National Grid plc,81.92,81.45B,NGG,Utilities - Regulated Electric
183,Eni S.p.A.,55.22,81.21B,E,Oil & Gas Integrated
184,"MercadoLibre, Inc.","1,599.52",81.09B,MELI,Internet Retail
185,"Automatic Data Processing, Inc.",201.25,81.03B,ADP,Software - Application
186,Freeport-McMoRan Inc.,56.24,80.83B,FCX,Copper
187,"United Parcel Service, Inc.",94.80,80.49B,UPS,Integrated Freight & Logistics
188,Johnson Controls International plc,131.29,80.35B,JCI,Building Products & Equipment
189,"EOG Resources, Inc.",149.56,80.24B,EOG,Oil & Gas Exploration & Production
190,Blackstone Inc.,108.07,80.21B,BX,Asset Management
191,SLB N.V.,53.50,80.00B,SLB,Oil & Gas Equipment & Services
192,Suncor Energy Inc.,66.66,79.14B,SU,Oil & Gas Integrated
193,American Tower Corporation,169.52,79.01B,AMT,REIT - Specialty
194,U.S. Bancorp,50.85,78.93B,USB,Banks - Regional
195,KKR & Co. Inc.,88.50,78.90B,KKR,Asset Management
196,The Bank of New York Mellon Corporation,114.66,78.76B,BK,Banks - Diversified
197,The Sherwin-Williams Company,315.37,78.14B,SHW,Specialty Chemicals
198,"Regeneron Pharmaceuticals, Inc.",737.71,77.99B,REGN,Biotechnology
199,PetrÃ³leo Brasileiro S.A. - Petrobras,20.77,77.29B,PBR,Oil & Gas Integrated
200,Valero Energy Corporation,254.32,76.05B,VLO,Oil & Gas Refining & Marketing
201,"NIKE, Inc.",51.37,76.05B,NKE,Footwear & Accessories
202,"Kinder Morgan, Inc.",34.03,75.71B,KMI,Oil & Gas Midstream
203,"O'Reilly Automotive, Inc.",90.11,75.56B,ORLY,Auto Parts
204,Phillips 66,188.28,75.45B,PSX,Oil & Gas Refining & Marketing
205,3M Company,143.04,75.34B,MMM,Conglomerates
206,Moody's Corporation,424.84,75.32B,MCO,Financial Data & Stock Exchanges
207,"Airbnb, Inc.",122.87,74.79B,ABNB,Travel Services
208,"Mondelez International, Inc.",58.27,74.69B,MDLZ,Confectioners
209,Illinois Tool Works Inc.,259.04,74.66B,ITW,Specialty Industrial Machinery
210,Marathon Petroleum Corporation,251.91,74.25B,MPC,Oil & Gas Refining & Marketing
211,"Cadence Design Systems, Inc.",271.77,74.10B,CDNS,Software - Application
212,CSX Corporation,39.67,73.77B,CSX,Railroads
213,Ecolab Inc.,261.37,73.70B,ECL,Specialty Chemicals
214,"Synopsys, Inc.",380.47,72.88B,SNPS,Software - Infrastructure
215,"Motorola Solutions, Inc.",438.32,72.61B,MSI,Communication Equipment
216,Cummins Inc.,523.24,72.29B,CMI,Specialty Industrial Machinery
217,ING Groep N.V.,24.79,71.95B,ING,Banks - Diversified
218,"Cloudflare, Inc.",203.02,71.46B,NET,Software - Infrastructure
219,Lloyds Banking Group plc,4.830,71.28B,LYG,Banks - Regional
220,Canadian Pacific Kansas City Limited,78.23,70.91B,CP,Railroads
221,Royal Caribbean Cruises Ltd.,261.80,70.82B,RCL,Travel Services
222,Emerson Electric Co.,125.40,70.47B,EMR,Specialty Industrial Machinery
223,Monster Beverage Corporation,71.83,70.27B,MNST,Beverages - Non-Alcoholic
224,Brookfield Asset Management Ltd.,43.18,70.25B,BAM,Asset Management
225,Barclays PLC,20.24,69.81B,BCS,Banks - Diversified
226,"American Electric Power Company, Inc.",130.10,69.64B,AEP,Utilities - Regulated Electric
227,"NetEase, Inc.",109.26,69.23B,NTES,Electronic Gaming & Multimedia
228,The Cigna Group,261.96,69.03B,CI,Healthcare Plans
229,"Ross Stores, Inc.",211.69,68.85B,ROST,Apparel Retail
230,CRH plc,101.74,67.99B,CRH,Building Materials
231,Energy Transfer LP,19.67,67.67B,ET,Oil & Gas Midstream
232,Colgate-Palmolive Company,84.29,67.56B,CL,Household & Personal Products
233,Hilton Worldwide Holdings Inc.,294.04,67.42B,HLT,Lodging
234,Aon plc,313.66,67.20B,AON,Insurance Brokers
235,"Warner Bros. Discovery, Inc.",27.07,67.13B,WBD,Entertainment
236,"Republic Services, Inc.",215.83,66.48B,RSG,Waste Management
237,TC Energy Corporation,63.46,66.32B,TRP,Oil & Gas Midstream
238,Cintas Corporation,165.71,66.27B,CTAS,Specialty Business Services
239,Nu Holdings Ltd.,13.60,66.04B,NU,Banks - Regional
240,General Motors Company,72.98,65.97B,GM,Auto Manufacturers
241,"Air Products and Chemicals, Inc.",292.19,65.06B,APD,Specialty Chemicals
242,Barrick Mining Corporation,38.59,64.53B,B,Gold
243,Occidental Petroleum Corporation,65.32,64.42B,OXY,Oil & Gas Exploration & Production
244,TransDigm Group Incorporated,"1,140.03",64.38B,TDG,Aerospace & Defense
245,Vale S.A.,15.03,64.16B,VALE,Other Industrial Metals & Mining
246,"L3Harris Technologies, Inc.",343.00,64.06B,LHX,Aerospace & Defense
247,"DoorDash, Inc.",146.60,63.69B,DASH,Internet Retail
