No.,Company Name,Stock Price,Market Cap,Symbol,Industry
4159,"Rekor Systems, Inc.",0.768,97.27M,REKR,Software - Infrastructure
4160,Largo Inc.,1.110,96.68M,LGO,Other Industrial Metals & Mining
4161,"flyExclusive, Inc.",2.170,96.40M,FLYX,Airlines
4162,Presidio Production Company,10.98,96.08M,FTW,Oil & Gas Exploration & Production
4163,"Biomea Fusion, Inc.",1.320,95.44M,BMEA,Biotechnology
4164,Aptera Motors Corp.,2.530,95.22M,SEV,Auto Manufacturers
4165,"Hurco Companies, Inc.",14.75,95.09M,HURC,Specialty Industrial Machinery
4166,"United Bancorp, Inc.",16.50,94.99M,UBCP,Banks - Regional
4167,Meridian Holdings Inc.,7.47,94.39M,MRDN,Other
4168,"BARK, Inc.",0.544,94.02M,BARK,Specialty Retail
4169,"Seer, Inc.",1.660,93.66M,SEER,Biotechnology
4170,"Bank of the James Financial Group, Inc.",20.60,93.59M,BOTJ,Banks - Regional
4171,Diginex Limited,0.463,93.44M,DGNX,Consulting Services
4172,Cherry Hill Mortgage Investment Corporation,2.540,93.32M,CHMI,REIT - Mortgage
4173,Mobile Infrastructure Corporation,2.260,93.11M,BEEP,Infrastructure Operations
4174,SUI Group Holdings Limited,1.210,92.93M,SUIG,Credit Services
4175,"Coya Therapeutics, Inc.",3.960,92.89M,COYA,Biotechnology
4176,"TuHURA Biosciences, Inc.",1.810,92.78M,HURA,Biotechnology
4177,"Optex Systems Holdings, Inc",13.30,92.27M,OPXS,Aerospace & Defense
4178,Comtech Telecommunications Corp.,3.100,92.01M,CMTL,Communication Equipment
4179,HF Foods Group Inc.,1.730,91.77M,HFFG,Food Distribution
4180,Anfield Energy Inc.,5.25,91.26M,AEC,Uranium
4181,RF Acquisition Corp II,10.90,90.95M,RFAI,Shell Companies
4182,Oncolytics Biotech Inc.,0.840,90.39M,ONCY,Biotechnology
4183,"Climb Global Solutions, Inc.",19.59,90.23M,CLMB,Electronics & Computer Distribution
4184,Summit State Bank,13.30,90.13M,SSBI,Banks - Regional
4185,Tuniu Corporation,0.770,90.11M,TOUR,Travel Services
4186,BCP Investment Corp.,7.26,89.93M,BCIC,Asset Management
4187,"Vera Bradley, Inc.",3.210,89.77M,VRA,Footwear & Accessories
4188,Mercer International Inc.,1.340,89.76M,MERC,Paper & Paper Products
4189,Everbright Digital Holding Limited,3.360,89.58M,EDHL,Advertising Agencies
4190,"Neuronetics, Inc.",1.290,89.37M,STIM,Medical Devices
4191,"Stabilis Solutions, Inc.",4.790,89.08M,SLNG,Oil & Gas Integrated
4192,Star Holdings,7.35,88.85M,STHO,Real Estate Services
4193,Miluna Acquisition Corp,-,88.19M,MMTX,Shell Companies
4194,Luda Technology Group Limited,3.880,88.04M,LUD,Steel
4195,Origin Investment Corp I,10.20,87.98M,ORIQ,Shell Companies
4196,"Identiv, Inc.",3.670,87.89M,INVE,Building Products & Equipment
4197,American Well Corporation,5.28,87.39M,AMWL,Health Information Services
4198,Freightos Limited,1.700,87.19M,CRGO,Integrated Freight & Logistics
4199,"Lake Shore Bancorp, Inc.",15.12,87.08M,LSBK,Banks - Regional
4200,"First US Bancshares, Inc.",15.40,87.01M,FUSB,Banks - Regional
4201,JFB Construction Holdings,7.27,86.76M,JFB,Real Estate - Development
4202,"Reviva Pharmaceuticals Holdings, Inc.",0.742,86.66M,RVPH,Biotechnology
4203,"Spruce Biosciences, Inc.",63.04,86.49M,SPRB,Biotechnology
4204,"Vivani Medical, Inc.",1.020,86.34M,VANI,Biotechnology
4205,"Seres Therapeutics, Inc.",9.00,86.28M,MCRB,Biotechnology
4206,BRC Inc.,0.747,86.11M,BRCC,Packaged Foods
4207,Inflection Point Acquisition Corp. III,10.21,86.10M,IPCX,Shell Companies
4208,YXT.COM Group Holding Limited,0.480,85.96M,YXT,Software - Application
4209,SMJ International Holdings Inc.,3.100,85.89M,SMJF,Construction
4210,Micropolis AI Robotics,2.460,85.83M,MCRP,Computer Hardware
4211,"Fortress Biotech, Inc.",2.760,85.66M,FBIO,Biotechnology
4212,"Anixa Biosciences, Inc.",2.550,85.50M,ANIX,Biotechnology
4213,"Roadzen, Inc.",1.070,85.27M,RDZN,Software - Application
4214,"Townsquare Media, Inc.",4.970,85.01M,TSQ,Advertising Agencies
4215,GrabAGun Digital Holdings Inc.,2.880,84.99M,PEW,Aerospace & Defense
4216,Zevia PBC,1.130,84.86M,ZVIA,Beverages - Non-Alcoholic
4217,Surf Air Mobility Inc.,1.100,84.69M,SRFM,Airlines
4218,North European Oil Royalty Trust,9.20,84.55M,NRT,Oil & Gas Exploration & Production
4219,Calisa Acquisition Corp,10.03,84.52M,ALIS,Shell Companies
4220,"AEye, Inc.",1.850,83.89M,LIDR,Software - Infrastructure
4221,"Auburn National Bancorporation, Inc.",23.99,83.81M,AUBN,Banks - Regional
4222,NexMetals Mining Corp.,2.350,83.45M,NEXM,Other Industrial Metals & Mining
4223,"Health In Tech, Inc.",1.390,83.34M,HIT,Software - Application
4224,"Wrap Technologies, Inc.",1.500,83.25M,WRAP,Scientific & Technical Instruments
4225,YHN Acquisition I Limited,10.72,83.08M,YHNA,Shell Companies
4226,"Pyxis Oncology, Inc.",1.310,82.31M,PYXS,Biotechnology
4227,First Northwest Bancorp,8.68,82.03M,FNWB,Banks - Regional
4228,Kestrel Group Ltd,10.59,81.99M,KG,Insurance - Reinsurance
4229,"SoundThinking, Inc.",6.39,81.96M,SSTI,Software - Application
4230,Voyager Acquisition Corp.,12.90,81.59M,VACH,Shell Companies
4231,"Gossamer Bio, Inc.",0.347,81.32M,GOSS,Biotechnology
4232,"GCT Semiconductor Holding, Inc.",1.120,81.19M,GCTS,Semiconductors
4233,"SIFCO Industries, Inc.",13.04,81.04M,SIF,Aerospace & Defense
4234,Vine Hill Capital Investment Corp.,11.04,80.96M,VCIC,Shell Companies
4235,"Health Catalyst, Inc.",1.100,80.94M,HCAT,Health Information Services
4236,Helport AI Limited,2.162,80.93M,HPAI,Software - Infrastructure
4237,StoneBridge Acquisition II Corporation,10.05,80.91M,APAC,Shell Companies
4238,Future Vision II Acquisition Corp.,-,80.87M,FVN,Shell Companies
4239,"Filana Therapeutics, Inc.",1.670,80.67M,FLNA,Other
4240,"J.W. Mays, Inc.",39.99,80.61M,MAYS,Real Estate Services
4241,DLH Holdings Corp.,5.56,80.58M,DLHC,Specialty Business Services
4242,The9 Limited,5.30,80.16M,NCTY,Capital Markets
4243,NIP Group Inc.,0.650,80.16M,NIPG,Entertainment
4244,"Sidus Space, Inc.",2.270,80.01M,SIDU,Aerospace & Defense
4245,"MIND Technology, Inc.",8.85,79.99M,MIND,Scientific & Technical Instruments
4246,Bluemount Holdings Limited,3.330,79.94M,BMHL,Capital Markets
4247,Westin Acquisition Corp,9.98,79.82M,WSTN,Shell Companies
4248,Energous Corporation,14.50,79.77M,WATT,Communication Equipment
4249,"Champions Oncology, Inc.",5.74,79.71M,CSBR,Biotechnology
4250,The InterGroup Corporation,37.00,79.51M,INTG,Lodging
4251,UY Scuti Acquisition Corp.,10.38,79.49M,UYSC,Shell Companies
4252,"MAIA Biotechnology, Inc.",1.310,79.48M,MAIA,Biotechnology
4253,Genasys Inc.,1.755,79.35M,GNSS,Scientific & Technical Instruments
4254,"Leishen Energy Holding Co., Ltd.",4.645,79.08M,LSE,Oil & Gas Equipment & Services
4255,PhenixFIN Corporation,-,78.97M,PFX,Asset Management
4256,CSP Inc.,7.96,78.91M,CSPI,Information Technology Services
4257,Canterbury Park Holding Corporation,15.39,78.85M,CPHC,Resorts & Casinos
4258,"Treace Medical Concepts, Inc.",1.220,78.80M,TMCI,Medical Devices
4259,"Fifth District Bancorp, Inc.",14.87,78.72M,FDSB,Banks - Regional
4260,"Saga Communications, Inc.",11.97,78.47M,SGA,Broadcasting
4261,Safe Pro Group Inc.,3.740,78.44M,SPAI,Aerospace & Defense
4262,Northern Technologies International Corporation,8.26,78.40M,NTIC,Specialty Chemicals
4263,"Full House Resorts, Inc.",2.165,78.34M,FLL,Resorts & Casinos
4264,"Knightscope, Inc.",4.810,78.32M,KSCP,Security & Protection Services
4265,PolyPid Ltd.,4.290,78.10M,PYPD,Biotechnology
4266,Kazia Therapeutics Limited,7.16,78.02M,KZIA,Biotechnology
4267,"Aardvark Therapeutics, Inc.",3.550,77.45M,AARD,Biotechnology
4268,Starry Sea Acquisition Corp,-,77.43M,SSEA,Shell Companies
4269,"Xtant Medical Holdings, Inc.",0.553,77.42M,XTNT,Medical Devices
4270,"Research Solutions, Inc.",2.350,77.33M,RSSS,Software - Application
4271,"Gain Therapeutics, Inc.",1.830,77.30M,GANX,Biotechnology
4272,"NeurAxis, Inc.",6.90,77.19M,NRXS,Biotechnology
4273,Siebert Financial Corp.,1.900,76.81M,SIEB,Capital Markets
4274,Churchill Capital Corp IX,10.68,76.76M,CCIX,Shell Companies
4275,Tecogen Inc.,2.570,76.73M,TGEN,Electrical Equipment & Parts
4276,Altisource Portfolio Solutions S.A.,6.80,76.68M,ASPS,Real Estate Services
4277,"Chegg, Inc.",0.685,76.54M,CHGG,Education & Training Services
4278,"CleanCore Solutions, Inc.",0.363,76.41M,ZONE,Pollution & Treatment Controls
4279,BEST SPAC I Acquisition Corp.,10.26,75.92M,BSAA,Shell Companies
4280,"NN, Inc.",1.510,75.79M,NNBR,Conglomerates
4281,"Expensify, Inc.",0.811,75.49M,EXFY,Software - Application
4282,Pelthos Therapeutics Inc.,22.49,75.47M,PTHS,Biotechnology
4283,"Traeger, Inc.",27.47,75.41M,COOK,"Furnishings, Fixtures & Appliances"
4284,Intchains Group Limited,1.240,75.28M,ICG,Semiconductors
4285,Verrica Pharmaceuticals Inc.,4.380,75.24M,VRCA,Biotechnology
4286,"Ocean Power Technologies, Inc.",0.330,75.22M,OPTT,Specialty Industrial Machinery
4287,"Westwater Resources, Inc.",0.603,75.20M,WWR,Other Industrial Metals & Mining
4288,"Hennessy Advisors, Inc.",9.51,75.05M,HNNA,Asset Management
4289,Optical Cable Corporation,9.14,74.85M,OCC,Communication Equipment
4290,"QT Imaging Holdings, Inc.",6.21,74.78M,QTI,Medical Devices
4291,"Stem, Inc.",8.75,74.54M,STEM,Utilities - Renewable
4292,"InspireMD, Inc.",1.590,74.41M,NSPR,Medical Devices
4293,Shengfeng Development Limited,0.902,74.41M,SFWL,Integrated Freight & Logistics
4294,"Park Dental Partners, Inc.",16.47,74.36M,PARK,Medical Care Facilities
4295,"Lakeland Industries, Inc.",7.58,74.33M,LAKE,Apparel Manufacturing
4296,Cingulate Inc.,6.39,74.31M,CING,Biotechnology
4297,Baird Medical Investment Holdings Limited,2.020,74.19M,BDMD,Medical Devices
4298,GCL Global Holdings Ltd,0.604,74.08M,GCL,Electronic Gaming & Multimedia
4299,Solitario Resources Corp.,0.803,74.03M,XPL,Other Industrial Metals & Mining
4300,"Purple Innovation, Inc.",0.682,73.86M,PRPL,"Furnishings, Fixtures & Appliances"
4301,Blueport Acquisition Ltd,10.00,73.85M,BPAC,Shell Companies
4302,"aTyr Pharma, Inc.",0.752,73.73M,ATYR,Biotechnology
4303,"The Beachbody Company, Inc.",10.23,73.45M,BODI,Internet Content & Information
4304,"Sera Prognostics, Inc.",1.875,73.39M,SERA,Medical Devices
4305,RenX Enterprises Corp.,1.580,73.25M,RENX,Real Estate - Development
4306,"Income Opportunity Realty Investors, Inc.",18.01,73.23M,IOR,Mortgage Finance
4307,XCHG Limited,1.230,73.13M,XCH,Specialty Industrial Machinery
4308,"MaxCyte, Inc.",0.684,73.05M,MXCT,Medical Devices
4309,"Airship AI Holdings, Inc.",2.120,72.87M,AISP,Software - Infrastructure
4310,Newbridge Acquisition Limited,9.98,72.70M,NBRG,Shell Companies
4311,"Viomi Technology Co., Ltd",1.070,72.70M,VIOT,"Furnishings, Fixtures & Appliances"
4312,"AstroNova, Inc.",9.50,72.57M,ALOT,Computer Hardware
4313,Sky Quarry Inc.,2.420,72.51M,SKYQ,Oil & Gas Integrated
4314,"LENSAR, Inc.",6.07,72.50M,LNSR,Medical Devices
4315,"XTI Aerospace, Inc.",2.100,72.47M,XTIA,Aerospace & Defense
4316,"Pliant Therapeutics, Inc.",1.170,72.44M,PLRX,Biotechnology
4317,"NRx Pharmaceuticals, Inc.",2.190,72.42M,NRXP,Biotechnology
4318,Spruce Power Holding Corporation,3.980,72.31M,SPRU,Solar
4319,"Central Plains Bancshares, Inc.",17.19,72.29M,CPBI,Banks - Regional
4320,"Grace Therapeutics, Inc.",4.670,72.26M,GRCE,Biotechnology
4321,"CBAK Energy Technology, Inc.",0.815,72.25M,CBAT,Electrical Equipment & Parts
4322,BKV Corporation,29.94,72.01M,BKV,Oil & Gas Exploration & Production
4323,Hongli Group Inc.,0.980,71.97M,HLP,Steel
4324,"BGSF, Inc.",6.41,71.79M,BGSF,Staffing & Employment Services
4325,"Team, Inc.",15.62,71.40M,TISI,Specialty Business Services
4326,"AudioEye, Inc.",5.71,71.35M,AEYE,Software - Application
4327,Arbe Robotics Ltd.,0.582,71.24M,ARBE,Scientific & Technical Instruments
4328,"Fractyl Health, Inc.",0.449,71.17M,GUTS,Biotechnology
4329,"Kandi Technologies Group, Inc.",0.820,70.11M,KNDI,Recreational Vehicles
4330,"Mastech Digital, Inc.",5.90,69.96M,MHH,Staffing & Employment Services
4331,"PMV Pharmaceuticals, Inc.",1.310,69.86M,PMVP,Biotechnology
4332,"The Children's Place, Inc.",3.150,69.83M,PLCE,Apparel Manufacturing
4333,"Upexi, Inc.",1.000,69.76M,UPXI,Internet Content & Information
4334,Alset Inc.,1.780,69.25M,AEI,Real Estate - Development
4335,XBiotech Inc.,2.270,69.21M,XBIT,Biotechnology
4336,Gogoro Inc.,3.440,69.05M,GGR,Auto Manufacturers
4337,Nano Labs Ltd,2.980,68.89M,,
4338,"United Homes Group, Inc.",1.170,68.83M,UHG,Residential Construction
4339,Bridgford Foods Corporation,7.57,68.71M,BRID,Packaged Foods
4340,Toro Corp.,3.600,68.66M,TORO,Oil & Gas Midstream
4341,"Gaia, Inc.",2.730,68.55M,GAIA,Entertainment
4342,Quantum Corporation,4.680,68.51M,QMCO,Computer Hardware
4343,Great Elm Capital Corp.,4.860,68.03M,GECC,Asset Management
4344,"Picard Medical, Inc.",0.921,67.86M,PMI,Medical Devices
4345,"MediciNova, Inc.",1.375,67.68M,MNOV,Biotechnology
4346,"Flexible Solutions International, Inc.",5.31,67.64M,FSI,Specialty Chemicals
4347,"WM Technology, Inc.",0.608,67.64M,MAPS,Software - Application
4348,"Catalyst Bancorp, Inc.",16.59,67.60M,CLST,Banks - Regional
4349,"Where Food Comes From, Inc.",13.35,67.39M,WFCF,Specialty Business Services
4350,"Marchex, Inc.",1.530,67.18M,MCHX,Advertising Agencies
4351,Franklin Street Properties Corp.,0.646,67.03M,FSP,REIT - Office
4352,Broadway Financial Corporation,7.26,66.65M,BYFC,Banks - Regional
4353,Granite Point Mortgage Trust Inc.,1.400,66.59M,GPMT,REIT - Mortgage
4354,"Unifi, Inc.",3.580,66.52M,UFI,Textile Manufacturing
4355,"Coeptis Therapeutics Holdings, Inc.",10.68,66.46M,COEP,Biotechnology
4356,"Dogwood Therapeutics, Inc.",1.980,66.14M,DWTX,Biotechnology
4357,Haymaker Acquisition Corp. 4,11.50,66.13M,HYAC,Shell Companies
4358,Keen Vision Acquisition Corporation,-,66.08M,KVAC,Shell Companies
4359,"Southland Holdings, Inc.",1.220,66.02M,SLND,Engineering & Construction
4360,Haoxi Health Technology Limited,1.110,65.98M,HAO,Advertising Agencies
4361,InflaRx N.V.,0.912,65.92M,IFRX,Biotechnology
4362,BeyondSpring Inc.,1.600,65.79M,BYSI,Biotechnology
4363,"Loop Industries, Inc.",1.360,65.74M,LOOP,Specialty Chemicals
4364,Sono-Tek Corporation,4.180,65.67M,SOTK,Scientific & Technical Instruments
4365,Senstar Technologies Corporation,2.810,65.50M,SNT,Security & Protection Services
4366,Hennessy Capital Investment Corp. VII,10.33,65.42M,HVII,Shell Companies
4367,"Sypris Solutions, Inc.",2.840,65.41M,SYPR,Auto Parts
4368,"Solesence, Inc.",0.925,65.25M,SLSN,Household & Personal Products
4369,"Cognition Therapeutics, Inc.",0.730,65.24M,CGTX,Biotechnology
4370,"Cantor Equity Partners II, Inc.",10.87,65.22M,CEPT,Shell Companies
4371,"Outset Medical, Inc.",3.560,65.19M,OM,Medical Devices
4372,BTCS Inc.,1.310,65.18M,BTCS,Capital Markets
4373,"Airgain, Inc.",5.33,65.15M,AIRG,Communication Equipment
4374,Abundia Global Impact Group Inc.,1.490,65.14M,AGIG,Utilities - Renewable
4375,"Rafael Holdings, Inc.",1.250,65.02M,RFL,Real Estate Services
4376,"ZenaTech, Inc.",2.060,64.96M,ZENA,Software - Infrastructure
4377,"Fold Holdings, Inc.",1.300,64.78M,FLD,Capital Markets
4378,CPS Technologies Corporation,3.600,64.77M,CPSH,Electronic Components
4379,OPAL Fuels Inc.,2.230,64.67M,OPAL,Utilities - Regulated Gas
4380,Exagen Inc.,2.680,64.46M,XGN,Diagnostics & Research
4381,"Sensus Healthcare, Inc.",3.910,64.37M,SRTS,Medical Devices
4382,TH International Limited,2.010,64.34M,THCH,Restaurants
4383,Newbury Street II Acquisition Corp,-,64.30M,NTWO,Shell Companies
4384,GrowGeneration Corp.,1.070,64.30M,GRWG,Specialty Retail
4385,Cheche Group Inc.,0.766,64.07M,CCG,Internet Content & Information
4386,"Yatra Online, Inc.",1.030,64.05M,YTRA,Travel Services
4387,Forian Inc.,2.060,64.01M,FORA,Health Information Services
4388,Cross Timbers Royalty Trust,10.63,63.78M,CRT,Oil & Gas Exploration & Production
4389,"Pathfinder Bancorp, Inc.",-,63.67M,PBHC,Banks - Regional
4390,"OptimumBank Holdings, Inc.",5.23,63.63M,OPHC,Banks - Regional
4391,ProCap Acquisition Corp,10.18,63.63M,PCAP,Shell Companies
4392,Stellar V Capital Corp.,-,63.45M,SVCC,Shell Companies
4393,"Lument Finance Trust, Inc.",1.210,63.40M,LFT,REIT - Mortgage
4394,"FTC Solar, Inc.",4.040,62.96M,FTCI,Solar
4395,INNOVATE Corp.,4.590,62.63M,VATE,Engineering & Construction
4396,Advanced Flower Capital Inc.,2.660,62.59M,AFCG,REIT - Mortgage
4397,"FingerMotion, Inc.",1.020,62.51M,FNGR,Telecom Services
4398,Travelzoo,5.71,62.42M,TZOO,Internet Content & Information
4399,Legato Merger Corp. III,10.98,62.30M,LEGT,Shell Companies
4400,"Leifras Co., Ltd.",2.500,62.28M,LFS,Entertainment
4401,"XCF Global, Inc.",0.391,62.18M,SAFX,Utilities - Renewable
4402,"Adicet Bio, Inc.",6.47,62.09M,ACET,Biotechnology
4403,VOC Energy Trust,3.650,62.05M,VOC,Oil & Gas Exploration & Production
4404,Permianville Royalty Trust,1.880,62.04M,PVL,Oil & Gas Exploration & Production
4405,Perimeter Acquisition Corp. I,10.27,62.01M,PMTR,Shell Companies
4406,Impact BioMedical Inc.,0.575,61.98M,IBO,Biotechnology
4407,"AmeriServ Financial, Inc.",3.590,60.90M,ASRV,Banks - Regional
4408,"iBio, Inc.",1.760,60.80M,IBIO,Biotechnology
4409,"NSTS Bancorp, Inc.",11.60,60.75M,NSTS,Banks - Regional
4410,Indonesia Energy Corporation Limited,4.050,60.70M,INDO,Oil & Gas Exploration & Production
4411,"Great Elm Group, Inc.",1.850,60.58M,GEG,Asset Management
4412,Melar Acquisition Corp. I,10.77,60.54M,MACI,Shell Companies
4413,Teads Holding Co.,0.630,60.48M,TEAD,Internet Content & Information
4414,Mobilicom Limited,4.930,60.21M,MOB,Aerospace & Defense
4415,"Hour Loop, Inc.",1.710,60.16M,HOUR,Internet Retail
4416,"IZEA Worldwide, Inc.",3.470,60.16M,IZEA,Internet Content & Information
4417,"eXoZymes, Inc.",7.15,59.97M,EXOZ,Biotechnology
4418,"First Seacoast Bancorp, Inc.",12.72,59.71M,FSEA,Banks - Regional
4419,"Beeline Holdings, Inc.",2.150,59.67M,BLNE,Mortgage Finance
4420,Regis Corporation,23.85,59.60M,RGS,Personal Services
4421,Nomadar Corp.,3.770,59.41M,NOMA,Leisure
4422,"Air T, Inc.",-,59.38M,AIRT,Conglomerates
4423,New Horizon Aircraft Ltd.,1.340,59.30M,HOVR,Aerospace & Defense
4424,Vivid Seats Inc.,5.50,59.21M,SEAT,Internet Content & Information
4425,"PodcastOne, Inc.",2.180,59.21M,PODC,Internet Content & Information
4426,DarioHealth Corp.,8.11,59.21M,DRIO,Health Information Services
4427,Daxor Corporation,10.14,59.09M,DXR,Medical Instruments & Supplies
4428,Cypherpunk Technologies Inc.,0.657,59.08M,CYPH,Asset Management
4429,ImmuCell Corporation,6.52,58.98M,ICCC,Biotechnology
4430,VirnetX Holding Corporation,14.05,58.82M,VHC,Software - Infrastructure
4431,American Vanguard Corporation,2.060,58.79M,AVD,Agricultural Inputs
4432,"Castellum, Inc.",0.620,58.67M,CTM,Information Technology Services
4433,Multi Ways Holdings Limited,1.760,58.67M,MWG,Rental & Leasing Services
4434,Horizon Space Acquisition II Corp.,6.45,58.57M,HSPT,Shell Companies
4435,AMCON Distributing Company,89.55,58.27M,DIT,Food Distribution
4436,Zentek Ltd.,0.531,58.25M,ZTEK,Medical Instruments & Supplies
4437,MoneyHero Limited,1.310,58.24M,MNY,Internet Content & Information
4438,"CarParts.com, Inc.",0.825,58.14M,PRTS,Auto Parts
4439,Electra Battery Materials Corporation,0.547,57.94M,ELBM,Other Industrial Metals & Mining
4440,Dynamix Corporation,10.47,57.93M,ETHM,Shell Companies
4441,Cayson Acquisition Corp,10.93,57.80M,CAPN,Shell Companies
4442,"Flanigan's Enterprises, Inc.",31.00,57.62M,BDL,Restaurants
4443,"PLAYSTUDIOS, Inc.",0.449,57.61M,MYPS,Electronic Gaming & Multimedia
4444,"Annovis Bio, Inc.",2.030,57.56M,ANVS,Biotechnology
4445,EuroDry Ltd.,19.87,57.44M,EDRY,Marine Shipping
4446,FST Corp.,1.280,57.30M,KBSX,Steel
4447,Alterity Therapeutics Limited,3.160,57.28M,ATHE,Biotechnology
4448,Asia Pacific Wire & Cable Corporation Limited,1.388,57.24M,APWC,Electrical Equipment & Parts
4449,"Global Self Storage, Inc.",5.04,57.16M,SELF,REIT - Specialty
4450,DocGo Inc.,0.575,56.80M,DCGO,Medical Care Facilities
4451,Scienjoy Holding Corporation,1.340,56.73M,SJ,Internet Content & Information
4452,Planet Image International Limited,0.951,56.34M,YIBO,Computer Hardware
4453,"TScan Therapeutics, Inc.",0.989,56.25M,TCRX,Biotechnology
4454,Eltek Ltd.,8.34,56.05M,ELTK,Electronic Components
4455,"The Hain Celestial Group, Inc.",0.616,56.03M,HAIN,Packaged Foods
4456,DDC Enterprise Limited,1.940,55.72M,DDC,Packaged Foods
4457,Zhongchao Inc.,1.810,55.66M,ZCMD,Health Information Services
4458,"LiveOne, Inc.",4.770,55.55M,LVO,Entertainment
4459,Gamehaus Holdings Inc.,1.040,55.50M,GMHS,Electronic Gaming & Multimedia
4460,Clene Inc.,4.710,55.48M,CLNN,Packaged Foods
4461,Flag Ship Acquisition Corporation,10.98,55.18M,FSHP,Shell Companies
4462,LifeVantage Corporation,4.300,55.01M,LFVN,Packaged Foods
4463,"NextNRG, Inc.",0.418,54.84M,NXXT,Utilities - Renewable
4464,"KLX Energy Services Holdings, Inc.",2.800,54.68M,KLXE,Oil & Gas Equipment & Services
4465,"The ONE Group Hospitality, Inc.",1.745,54.68M,STKS,Restaurants
4466,"OnKure Therapeutics, Inc.",3.990,54.56M,OKUR,Biotechnology
4467,Eureka Acquisition Corp,11.30,54.53M,EURK,Shell Companies
4468,"5E Advanced Materials, Inc.",1.310,54.38M,FEAM,Specialty Chemicals
4469,Noodles & Company,9.20,54.17M,NDLS,Restaurants
4470,Universal Electronics Inc.,4.210,54.16M,UEIC,Consumer Electronics
4471,The Cato Corporation,2.740,54.09M,CATO,Apparel Retail
4472,"Home Federal Bancorp, Inc. of Louisiana",17.44,53.62M,HFBL,Banks - Regional
4473,MediaCo Holding Inc.,0.655,53.61M,MDIA,Broadcasting
4474,EON Resources Inc.,1.070,53.47M,EONR,Oil & Gas Exploration & Production
4475,The Generation Essentials Group,1.100,53.31M,TGE,Asset Management
4476,"ImageneBio, Inc.",5.00,53.27M,IMA,Biotechnology
4477,MindWalk Holdings Corp.,1.070,53.14M,HYFT,Biotechnology
4478,"Aimei Health Technology Co., Ltd",24.37,53.10M,AFJK,Shell Companies
4479,"Instil Bio, Inc.",7.79,52.83M,TIL,Biotechnology
4480,uCloudlink Group Inc.,1.397,52.81M,UCL,Telecom Services
4481,Entera Bio Ltd.,1.130,52.68M,ENTX,Biotechnology
4482,"CPI Aerostructures, Inc.",3.990,52.61M,CVU,Aerospace & Defense
4483,Mereo BioPharma Group plc,0.329,52.53M,MREO,Biotechnology
4484,"Cantor Equity Partners I, Inc.",10.49,52.45M,CEPO,Shell Companies
4485,ZOOZ Strategy Ltd.,0.323,52.33M,ZOOZ,Specialty Retail
4486,Jinxin Technology Holding Company,0.765,52.31M,NAMI,Internet Content & Information
4487,biote Corp.,1.320,52.21M,BTMD,Medical Care Facilities
4488,Lipocine Inc.,7.15,52.19M,LPCN,Biotechnology
4489,"VenHub Global, Inc.",0.630,52.04M,VHUB,Grocery Stores
4490,Trio-Tech International,5.94,51.97M,TRT,Semiconductor Equipment & Materials
4491,PS International Group Ltd.,6.02,51.91M,PSIG,Integrated Freight & Logistics
4492,"XBP Global Holdings, Inc.",4.410,51.82M,XBP,Software - Infrastructure
4493,"Hyperscale Data, Inc.",0.135,51.79M,GPUS,Aerospace & Defense
4494,Immutep Limited,0.353,51.74M,IMMP,Biotechnology
4495,"MiNK Therapeutics, Inc.",11.02,51.73M,INKT,Biotechnology
4496,High-Trend International Group,7.66,51.57M,HTCO,Marine Shipping
4497,"Acrivon Therapeutics, Inc.",1.330,51.53M,ACRV,Biotechnology
4498,Aureus Greenway Holdings Inc.,3.410,51.34M,AGH,Leisure
4499,"Cardlytics, Inc.",0.932,51.33M,CDLX,Advertising Agencies
4500,Sunlands Technology Group,3.800,51.29M,STG,Education & Training Services
4501,"Grove Collaborative Holdings, Inc.",1.220,51.27M,GROV,Household & Personal Products
4502,"Texas Community Bancshares, Inc.",17.75,51.22M,TCBS,Banks - Regional
4503,"Actuate Therapeutics, Inc.",2.150,50.98M,ACTU,Biotechnology
4504,"Forum Markets, Incorporated",2.680,50.95M,FRMM,Software - Application
4505,"Manhattan Bridge Capital, Inc.",4.450,50.86M,LOAN,REIT - Mortgage
4506,Cheetah Net Supply Chain Service Inc.,1.400,50.65M,CTNT,Integrated Freight & Logistics
4507,VS MEDIA Holdings Limited,1.020,50.56M,VSME,Advertising Agencies
4508,Avax One Technology Ltd.,0.562,50.55M,AVX,Asset Management
4509,Bragg Gaming Group Inc.,1.840,50.42M,BRAG,Gambling
4510,Birchtech Corp.,1.910,50.24M,BCHT,Pollution & Treatment Controls
4511,Radiopharm Theranostics Limited,4.250,50.21M,RADX,Biotechnology
4512,"Envoy Medical, Inc.",0.653,50.17M,COCH,Medical Devices
4513,Alchemy Investments Acquisition Corp 1,11.90,50.08M,ALCY,Shell Companies
4514,374Water Inc.,2.955,50.01M,SCWO,Pollution & Treatment Controls
4515,Maase Inc.,5.52,50.00M,MAAS,Asset Management
4516,Genius Group Limited,0.320,49.78M,GNS,Education & Training Services
4517,"Metagenomi Therapeutics, Inc.",1.320,49.66M,MGX,Biotechnology
4518,OS Therapies Incorporated,1.410,49.65M,OSTX,Biotechnology
4519,"Deswell Industries, Inc.",3.110,49.56M,DSWL,Electronic Components
4520,Smart Digital Group Limited,1.850,49.44M,SDM,Advertising Agencies
