No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
104,Southern Copper Corporation,162.07,132.75B,SCCO,Copper,Materials
105,Unilever PLC,59.37,129.72B,UL,Household & Personal Products,Consumer Staples
106,"Lowe's Companies, Inc.",230.31,128.99B,LOW,Home Improvement Retail,Consumer Discretionary
107,Booking Holdings Inc.,"4,062.14",128.66B,BKNG,Travel Services,Consumer Discretionary
108,AppLovin Corporation,381.20,128.57B,APP,Advertising Agencies,Communication Services
109,Danaher Corporation,181.52,128.36B,DHR,Diagnostics & Research,Healthcare
110,PetrÃ³leo Brasileiro S.A. - Petrobras,18.80,125.69B,PBR.A,Oil & Gas Integrated,Energy
111,Stryker Corporation,327.44,125.31B,SYK,Medical Devices,Healthcare
112,HDFC Bank Limited,24.35,124.70B,HDB,Banks - Regional,Financials
113,Chubb Limited,319.09,124.50B,CB,Insurance - Property & Casualty,Financials
114,BP p.l.c.,46.68,122.15B,BP,Oil & Gas Integrated,Energy
115,"Sumitomo Mitsui Financial Group, Inc.",19.05,121.56B,SMFG,Banks - Diversified,Financials
116,S&P Global Inc.,406.24,121.38B,SPGI,Financial Data & Stock Exchanges,Financials
117,"Palo Alto Networks, Inc.",147.02,119.97B,PANW,Software - Infrastructure,Technology
118,"Prologis, Inc.",128.90,119.82B,PLD,REIT - Industrial,Real Estate
119,Enbridge Inc.,54.58,119.29B,ENB,Oil & Gas Midstream,Energy
120,Bristol-Myers Squibb Company,58.54,119.22B,BMY,Drug Manufacturers - General,Healthcare
121,Sony Group Corporation,19.91,118.45B,SONY,Consumer Electronics,Technology
122,Accenture plc,192.60,118.24B,ACN,Information Technology Services,Technology
123,Corning Incorporated,136.81,117.38B,GLW,Electronic Components,Technology
124,"Banco Bilbao Vizcaya Argentaria, S.A.",20.42,116.58B,BBVA,Banks - Diversified,Financials
125,The Progressive Corporation,198.84,116.50B,PGR,Insurance - Property & Casualty,Financials
126,Intuit Inc.,416.44,115.17B,INTU,Software - Application,Technology
127,Sanofi,46.78,114.09B,SNY,Drug Manufacturers - General,Healthcare
128,UBS Group AG,36.41,112.57B,UBS,Banks - Diversified,Financials
129,Parker-Hannifin Corporation,888.44,112.14B,PH,Specialty Industrial Machinery,Industrials
130,Medtronic plc,87.14,111.88B,MDT,Medical Devices,Healthcare
131,"Altria Group, Inc.",66.48,111.15B,MO,Tobacco,Consumer Staples
132,Newmont Corporation,102.10,111.07B,NEM,Gold,Materials
133,Dell Technologies Inc.,171.81,110.95B,DELL,Computer Hardware,Technology
134,Vertex Pharmaceuticals Incorporated,433.07,110.01B,VRTX,Biotechnology,Healthcare
135,GSK plc,53.84,109.56B,GSK,Drug Manufacturers - General,Healthcare
136,Capital One Financial Corporation,176.10,109.52B,COF,Credit Services,Financials
137,Constellation Energy Corporation,301.49,109.14B,CEG,Utilities - Independent Power Producers,Utilities
138,Rio Tinto Group,86.64,108.69B,RIO,Other Industrial Metals & Mining,Materials
139,The Southern Company,95.55,106.96B,SO,Utilities - Regulated Electric,Utilities
140,The Southern Company,51.22,106.81B,SOMN,Utilities - Regulated Electric,Utilities
141,"HCA Healthcare, Inc.",471.85,105.52B,HCA,Medical Care Facilities,Healthcare
142,McKesson Corporation,860.16,105.36B,MCK,Medical Distribution,Healthcare
143,CME Group Inc.,293.78,105.36B,CME,Financial Data & Stock Exchanges,Financials
144,"ServiceNow, Inc.",99.41,103.98B,NOW,Software - Application,Technology
145,Equinor ASA,41.53,103.84B,EQNR,Oil & Gas Integrated,Energy
146,Boston Scientific Corporation,69.17,102.64B,BSX,Medical Devices,Healthcare
147,Comcast Corporation,28.33,101.93B,CMCSA,Telecom Services,Communication Services
148,Canadian Natural Resources Limited,50.09,101.75B,CNQ,Oil & Gas Exploration & Production,Energy
