No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
329,Haleon plc,9.80,43.65B,HLN,Drug Manufacturers - Specialty & Generic,Healthcare
330,The Hershey Company,213.73,43.32B,HSY,Confectioners,Consumer Staples
331,Carvana Co.,302.04,43.11B,CVNA,Auto & Truck Dealerships,Consumer Discretionary
332,"Venture Global, Inc.",17.53,43.07B,VG,Oil & Gas Midstream,Energy
333,argenx SE,691.40,42.79B,ARGX,Biotechnology,Healthcare
334,"Yum! Brands, Inc.",153.96,42.56B,YUM,Restaurants,Consumer Discretionary
335,"Coinbase Global, Inc.",161.14,42.55B,COIN,Financial Data & Stock Exchanges,Financials
336,"Delta Air Lines, Inc.",64.83,42.34B,DAL,Airlines,Industrials
337,EQT Corporation,67.55,42.17B,EQT,Oil & Gas Exploration & Production,Energy
338,"Alnylam Pharmaceuticals, Inc.",317.36,42.09B,ALNY,Biotechnology,Healthcare
339,Strategy Inc,126.03,42.06B,MSTR,Software - Application,Technology
340,Diageo plc,74.07,41.23B,DEO,Beverages - Wineries & Distilleries,Consumer Staples
341,Coca-Cola Europacific Partners PLC,91.64,41.15B,CCEP,Beverages - Non-Alcoholic,Consumer Staples
342,Westinghouse Air Brake Technologies Corporation,241.11,41.11B,WAB,Railroads,Industrials
343,Elbit Systems Ltd.,869.82,40.40B,ESLT,Aerospace & Defense,Industrials
344,"Datadog, Inc.",114.48,40.36B,DDOG,Software - Application,Technology
345,"Consolidated Edison, Inc.",111.68,40.34B,ED,Utilities - Regulated Electric,Utilities
346,Public Service Enterprise Group Incorporated,80.71,40.25B,PEG,Utilities - Regulated Electric,Utilities
347,"Chipotle Mexican Grill, Inc.",30.86,40.19B,CMG,Restaurants,Consumer Discretionary
348,Thomson Reuters Corporation,89.43,40.18B,TRI,Specialty Business Services,Industrials
349,Fifth Third Bancorp,44.54,40.17B,FITB,Banks - Regional,Financials
350,"PayPal Holdings, Inc.",43.59,40.13B,PYPL,Credit Services,Financials
351,"Waste Connections, Inc.",156.02,39.88B,WCN,Waste Management,Industrials
352,"Ameriprise Financial, Inc.",436.81,39.83B,AMP,Asset Management,Financials
353,"Rockwell Automation, Inc.",351.50,39.49B,ROK,Specialty Industrial Machinery,Industrials
354,eBay Inc.,87.98,39.42B,EBAY,Internet Retail,Consumer Discretionary
355,"JD.com, Inc.",28.70,39.35B,JD,Internet Retail,Consumer Discretionary
356,"CoreWeave, Inc.",74.81,39.33B,CRWV,Software - Infrastructure,Technology
357,"Old Dominion Freight Line, Inc.",188.34,39.25B,ODFL,Trucking,Industrials
358,Sysco Corporation,81.80,39.18B,SYY,Food Distribution,Consumer Staples
359,"American International Group, Inc.",72.95,39.14B,AIG,Insurance - Diversified,Financials
360,"Ventas, Inc.",81.91,38.90B,VTR,REIT - Healthcare Facilities,Real Estate
361,"CBRE Group, Inc.",131.77,38.89B,CBRE,Real Estate Services,Real Estate
362,"D.R. Horton, Inc.",134.19,38.88B,DHI,Residential Construction,Consumer Discretionary
363,"Rocket Companies, Inc.",13.67,38.55B,RKT,Mortgage Finance,Financials
364,MSCI Inc.,523.40,38.46B,MSCI,Financial Data & Stock Exchanges,Financials
365,ArcelorMittal S.A.,49.62,38.15B,MT,Steel,Materials
366,HEICO Corporation,273.39,38.14B,HEI,Aerospace & Defense,Industrials
367,Telefonaktiebolaget LM Ericsson (publ),11.14,37.56B,ERIC,Communication Equipment,Technology
368,Nucor Corporation,163.37,37.39B,NUE,Steel,Materials
369,Bloom Energy Corporation,133.24,37.38B,BE,Electrical Equipment & Parts,Industrials
370,Gold Fields Limited,42.34,37.26B,GFI,Gold,Materials
371,"WEC Energy Group, Inc.",114.36,37.23B,WEC,Utilities - Regulated Electric,Utilities
372,Roblox Corporation,52.31,37.07B,RBLX,Electronic Gaming & Multimedia,Communication Services
373,"Baidu, Inc.",108.12,36.79B,BIDU,Internet Content & Information,Communication Services
374,"The Hartford Insurance Group, Inc.",132.32,36.50B,HIG,Insurance - Diversified,Financials
375,Nutrien Ltd.,75.65,36.43B,NTR,Agricultural Inputs,Materials
376,Polestar Automotive Holding UK PLC,17.10,36.24B,PSNY,Auto Manufacturers,Consumer Discretionary
377,Alcon Inc.,73.34,35.75B,ALC,Medical Instruments & Supplies,Healthcare
378,Keurig Dr Pepper Inc.,26.23,35.64B,KDP,Beverages - Non-Alcoholic,Consumer Staples
379,KB Financial Group Inc.,99.37,35.63B,KB,Banks - Regional,Financials
380,"Roper Technologies, Inc.",344.42,35.45B,ROP,Software - Application,Technology
381,Texas Pacific Land Corporation,511.75,35.28B,TPL,Oil & Gas Exploration & Production,Energy
382,Prudential plc,27.78,35.20B,PUK,Insurance - Life,Financials
383,"Take-Two Interactive Software, Inc.",189.69,35.13B,TTWO,Electronic Gaming & Multimedia,Communication Services
384,Ryanair Holdings plc,58.48,34.87B,RYAAY,Airlines,Industrials
385,Archer-Daniels-Midland Company,72.23,34.76B,ADM,Farm Products,Consumer Staples
386,Las Vegas Sands Corp.,51.69,34.73B,LVS,Resorts & Casinos,Consumer Discretionary
387,Rocket Lab Corporation,60.93,34.57B,RKLB,Aerospace & Defense,Industrials
388,Carnival Corporation & plc,24.19,34.54B,CCL,Travel Services,Consumer Discretionary
389,"Martin Marietta Materials, Inc.",570.94,34.43B,MLM,Building Materials,Materials
390,Kinross Gold Corporation,28.74,34.37B,KGC,Gold,Materials
391,Crown Castle Inc.,78.59,34.27B,CCI,REIT - Specialty,Real Estate
392,"Live Nation Entertainment, Inc.",145.71,34.21B,LYV,Entertainment,Communication Services
393,State Street Corporation,122.52,34.15B,STT,Asset Management,Financials
394,Vulcan Materials Company,261.46,34.14B,VMC,Building Materials,Materials
395,Sun Life Financial Inc.,61.37,34.05B,SLF,Insurance - Diversified,Financials
396,"Axon Enterprise, Inc.",429.94,33.93B,AXON,Aerospace & Defense,Industrials
397,Halliburton Company,40.42,33.85B,HAL,Oil & Gas Equipment & Services,Energy
398,Kenvue Inc.,17.52,33.58B,KVUE,Household & Personal Products,Consumer Staples
399,Microchip Technology Incorporated,62.00,33.55B,MCHP,Semiconductors,Technology
400,Vodafone Group Public Limited Company,14.49,33.54B,VOD,Telecom Services,Communication Services
401,"Block, Inc.",55.98,33.54B,XYZ,Software - Infrastructure,Technology
402,EchoStar Corporation,115.21,33.28B,SATS,Telecom Services,Communication Services
403,Arch Capital Group Ltd.,93.42,33.24B,ACGL,Insurance - Diversified,Financials
404,"Coupang, Inc.",18.09,33.07B,CPNG,Internet Retail,Consumer Discretionary
405,Teva Pharmaceutical Industries Limited,28.74,33.05B,TEVA,Drug Manufacturers - Specialty & Generic,Healthcare
406,"Paychex, Inc.",91.68,32.85B,PAYX,Software - Application,Technology
407,Kimberly-Clark Corporation,98.66,32.75B,KMB,Household & Personal Products,Consumer Staples
408,"Chunghwa Telecom Co., Ltd.",42.08,32.64B,CHT,Telecom Services,Communication Services
409,"EMCOR Group, Inc.",732.89,32.64B,EME,Engineering & Construction,Industrials
410,HEICO Corporation,207.78,32.61B,HEI.A,Aerospace & Defense,Industrials
411,Restaurant Brands International Inc.,71.42,32.56B,QSR,Restaurants,Consumer Discretionary
412,"Prudential Financial, Inc.",93.29,32.46B,PRU,Insurance - Life,Financials
413,Devon Energy Corporation,52.07,32.28B,DVN,Oil & Gas Exploration & Production,Energy
414,ResMed Inc.,220.47,32.12B,RMD,Medical Instruments & Supplies,Healthcare
415,"Workday, Inc.",124.18,31.91B,WDAY,Software - Application,Technology
416,Hewlett Packard Enterprise Company,23.94,31.76B,HPE,Communication Equipment,Technology
417,"NRG Energy, Inc.",147.74,31.72B,NRG,Utilities - Independent Power Producers,Utilities
418,Trip.com Group Limited,48.49,31.68B,TCOM,Travel Services,Consumer Discretionary
419,"Honda Motor Co., Ltd.",24.34,31.58B,HMC,Auto Manufacturers,Consumer Discretionary
420,GE HealthCare Technologies Inc.,69.23,31.55B,GEHC,Medical Devices,Healthcare
421,Celestica Inc.,280.22,31.43B,CLS,Electronic Components,Technology
422,"Cheniere Energy Partners, L.P.",64.92,31.42B,CQP,Oil & Gas Midstream,Energy
423,BeOne Medicines AG,283.03,31.37B,ONC,Biotechnology,Healthcare
424,Insmed Incorporated,145.30,31.32B,INSM,Biotechnology,Healthcare
425,"Copart, Inc.",32.43,31.24B,CPRT,Specialty Business Services,Industrials
426,"Agilent Technologies, Inc.",110.24,31.15B,A,Diagnostics & Research,Healthcare
427,Ingersoll Rand Inc.,79.45,31.11B,IR,Specialty Industrial Machinery,Industrials
428,AXIA Energia SA,10.71,31.04B,AXIA,Utilities - Renewable,Utilities
429,Ecopetrol S.A.,15.01,30.86B,EC,Oil & Gas Integrated,Energy
430,Viking Holdings Ltd,68.58,30.56B,VIK,Travel Services,Consumer Discretionary
431,Credicorp Ltd.,322.43,30.43B,BAP,Banks - Regional,Financials
432,Atmos Energy Corporation,183.19,30.31B,ATO,Utilities - Regulated Gas,Utilities
433,Ameren Corporation,108.72,30.05B,AEE,Utilities - Regulated Electric,Utilities
434,DTE Energy Company,144.47,30.02B,DTE,Utilities - Regulated Electric,Utilities
435,M&T Bank Corporation,200.93,29.94B,MTB,Banks - Regional,Financials
436,Otis Worldwide Corporation,75.95,29.52B,OTIS,Specialty Industrial Machinery,Industrials
437,Tenaris S.A.,58.29,29.49B,TS,Oil & Gas Equipment & Services,Energy
438,"Shinhan Financial Group Co., Ltd.",60.83,29.39B,SHG,Banks - Regional,Financials
439,Dow Inc.,40.82,29.29B,DOW,Chemicals,Materials
440,Iron Mountain Incorporated,98.30,29.08B,IRM,REIT - Specialty,Real Estate
441,STMicroelectronics N.V.,32.54,28.92B,STM,Semiconductors,Technology
442,FirstEnergy Corp.,50.03,28.91B,FE,Utilities - Regulated Electric,Utilities
443,"Fiserv, Inc.",53.90,28.82B,FISV,Software - Application,Technology
444,"United Airlines Holdings, Inc.",88.44,28.60B,UAL,Airlines,Industrials
445,"Interactive Brokers Group, Inc.",64.20,28.59B,IBKR,Capital Markets,Financials
446,Xylem Inc.,117.55,28.58B,XYL,Specialty Industrial Machinery,Industrials
447,"Cboe Global Markets, Inc.",273.00,28.57B,CBOE,Financial Data & Stock Exchanges,Financials
448,Cognizant Technology Solutions Corporation,59.73,28.57B,CTSH,Information Technology Services,Technology
449,TechnipFMC plc,71.19,28.48B,FTI,Oil & Gas Equipment & Services,Energy
450,VICI Properties Inc.,26.61,28.44B,VICI,REIT - Diversified,Real Estate
451,Waters Corporation,289.16,28.37B,WAT,Diagnostics & Research,Healthcare
452,PPL Corporation,37.65,28.29B,PPL,Utilities - Regulated Electric,Utilities
453,Fortis Inc.,55.66,28.25B,FTS,Utilities - Regulated Electric,Utilities
454,Veeva Systems Inc.,172.59,28.19B,VEEV,Health Information Services,Healthcare
455,"Tapestry, Inc.",138.84,28.11B,TPR,Luxury Goods,Consumer Discretionary
456,Dover Corporation,206.60,27.86B,DOV,Specialty Industrial Machinery,Industrials
457,"Raymond James Financial, Inc.",141.32,27.85B,RJF,Asset Management,Financials
458,IQVIA Holdings Inc.,163.85,27.81B,IQV,Diagnostics & Research,Healthcare
459,"Charter Communications, Inc.",219.14,27.75B,CHTR,Telecom Services,Communication Services
460,"Expedia Group, Inc.",225.81,27.67B,EXPE,Travel Services,Consumer Discretionary
461,"CenterPoint Energy, Inc.",42.38,27.67B,CNP,Utilities - Regulated Electric,Utilities
462,Jabil Inc.,261.10,27.57B,JBL,Electronic Components,Technology
463,Coterra Energy Inc.,36.31,27.57B,CTRA,Oil & Gas Exploration & Production,Energy
464,Teledyne Technologies Incorporated,593.31,27.47B,TDY,Scientific & Technical Instruments,Technology
465,Expand Energy Corporation,113.50,27.29B,EXE,Oil & Gas Exploration & Production,Energy
466,Extra Space Storage Inc.,128.96,27.23B,EXR,REIT - Industrial,Real Estate
467,Edison International,70.30,27.05B,EIX,Utilities - Regulated Electric,Utilities
468,Biogen Inc.,183.84,26.98B,BIIB,Drug Manufacturers - General,Healthcare
469,"Sunbelt Rentals Holdings, Inc.",65.27,26.89B,SUNB,Rental & Leasing Services,Industrials
470,"American Water Works Company, Inc.",136.86,26.72B,AWK,Utilities - Regulated Water,Utilities
471,Willis Towers Watson Public Limited Company,282.18,26.68B,WTW,Insurance Brokers,Financials
472,Pembina Pipeline Corporation,45.77,26.63B,PBA,Oil & Gas Midstream,Energy
473,"Casey's General Stores, Inc.",714.24,26.40B,CASY,Specialty Retail,Consumer Discretionary
474,"Constellation Brands, Inc.",151.40,26.25B,STZ,Beverages - Brewers,Consumer Staples
475,The Kraft Heinz Company,22.04,26.09B,KHC,Packaged Foods,Consumer Staples
476,LyondellBasell Industries N.V.,80.45,25.92B,LYB,Specialty Chemicals,Materials
477,Dollar General Corporation,117.16,25.80B,DG,Discount Stores,Consumer Staples
478,Hubbell Incorporated,480.97,25.57B,HUBB,Electrical Equipment & Parts,Industrials
479,"Natera, Inc.",182.65,25.51B,NTRA,Diagnostics & Research,Healthcare
480,Nebius Group N.V.,100.82,25.51B,NBIS,Internet Content & Information,Communication Services
481,Koninklijke Philips N.V.,26.78,25.48B,PHG,Medical Devices,Healthcare
482,Eversource Energy,67.59,25.35B,ES,Utilities - Regulated Electric,Utilities
483,"Rollins, Inc.",52.46,25.24B,ROL,Personal Services,Consumer Discretionary
484,"Verisk Analytics, Inc.",182.75,25.21B,VRSK,Consulting Services,Industrials
485,Fox Corporation,59.11,25.15B,FOXA,Entertainment,Communication Services
486,Northern Trust Corporation,134.99,25.08B,NTRS,Asset Management,Financials
487,Mettler-Toledo International Inc.,"1,232.04",25.04B,MTD,Diagnostics & Research,Healthcare
488,"MasTec, Inc.",316.01,24.93B,MTZ,Engineering & Construction,Industrials
489,Bunge Global SA,128.72,24.91B,BG,Farm Products,Consumer Staples
490,Tradeweb Markets Inc.,116.57,24.78B,TW,Capital Markets,Financials
491,"Steel Dynamics, Inc.",170.97,24.77B,STLD,Steel,Materials
492,"Citizens Financial Group, Inc.",57.78,24.56B,CFG,Banks - Regional,Financials
493,FTAI Aviation Ltd.,239.06,24.52B,FTAI,Rental & Leasing Services,Industrials
494,Curtiss-Wright Corporation,663.56,24.47B,CW,Aerospace & Defense,Industrials
495,TelefÃ´nica Brasil S.A.,15.25,24.37B,VIV,Telecom Services,Communication Services
496,The EstÃ©e Lauder Companies Inc.,67.23,24.32B,EL,Household & Personal Products,Consumer Staples
497,W. R. Berkley Corporation,64.74,24.24B,WRB,Insurance - Property & Casualty,Financials
498,"Fidelity National Information Services, Inc.",46.89,24.12B,FIS,Information Technology Services,Technology
499,Fair Isaac Corporation,"1,011.06",24.03B,FICO,Software - Application,Technology
500,"DexCom, Inc.",62.25,23.96B,DXCM,Medical Devices,Healthcare
501,Cincinnati Financial Corporation,153.68,23.92B,CINF,Insurance - Property & Casualty,Financials
502,GLOBALFOUNDRIES Inc.,42.94,23.87B,GFS,Semiconductors,Technology
503,Ares Management Corporation,106.28,23.85B,ARES,Asset Management,Financials
504,Flex Ltd.,64.80,23.83B,FLEX,Electronic Components,Technology
505,Teck Resources Limited,48.54,23.81B,TECK,Other Industrial Metals & Mining,Materials
506,LPL Financial Holdings Inc.,296.90,23.78B,LPLA,Capital Markets,Financials
507,Tractor Supply Company,44.87,23.71B,TSCO,Specialty Retail,Consumer Discretionary
508,Sociedad QuÃ­mica y Minera de Chile S.A.,82.70,23.62B,SQM,Specialty Chemicals,Materials
509,BCE Inc.,25.25,23.57B,BCE,Telecom Services,Communication Services
510,Markel Group Inc.,"1,867.29",23.48B,MKL,Insurance - Property & Casualty,Financials
511,"Qnity Electronics, Inc.",111.76,23.43B,Q,Semiconductor Equipment & Materials,Technology
512,CMS Energy Corporation,76.21,23.35B,CMS,Utilities - Regulated Electric,Utilities
513,"Reddit, Inc.",121.84,23.28B,RDDT,Internet Content & Information,Communication Services
514,"PPG Industries, Inc.",103.82,23.20B,PPG,Specialty Chemicals,Materials
515,"Circle Internet Group, Inc.",93.66,23.12B,CRCL,Capital Markets,Financials
516,"AST SpaceMobile, Inc.",78.67,23.02B,ASTS,Communication Equipment,Technology
517,ON Semiconductor Corporation,58.35,22.99B,ON,Semiconductors,Technology
518,United Therapeutics Corporation,522.83,22.91B,UTHR,Drug Manufacturers - Specialty & Generic,Healthcare
519,Omnicom Group Inc.,73.82,22.91B,OMC,Advertising Agencies,Communication Services
520,"Zoom Communications, Inc.",77.71,22.90B,ZM,Software - Application,Technology
521,"First Citizens BancShares, Inc.","1,835.67",22.83B,FCNCA,Banks - Regional,Financials
522,Synchrony Financial,65.36,22.72B,SYF,Credit Services,Financials
523,Fox Corporation,53.38,22.71B,FOX,Entertainment,Communication Services
524,"VeriSign, Inc.",247.48,22.69B,VRSN,Software - Infrastructure,Technology
525,"AvalonBay Communities, Inc.",160.81,22.53B,AVB,REIT - Residential,Real Estate
526,"Tyson Foods, Inc.",63.92,22.50B,TSN,Farm Products,Consumer Staples
527,Formula One Group,75.09,22.49B,FWONA,Entertainment,Communication Services
528,"Church & Dwight Co., Inc.",94.69,22.41B,CHD,Household & Personal Products,Consumer Staples
529,"Ulta Beauty, Inc.",510.34,22.32B,ULTA,Specialty Retail,Consumer Discretionary
530,Lennar Corporation,90.25,22.29B,LEN,Residential Construction,Consumer Discretionary
531,AerCap Holdings N.V.,133.38,22.26B,AER,Rental & Leasing Services,Industrials
532,"Nomura Holdings, Inc.",7.58,22.24B,NMR,Capital Markets,Financials
533,Equity Residential,58.75,22.18B,EQR,REIT - Residential,Real Estate
534,United Microelectronics Corporation,8.87,22.15B,UMC,Semiconductors,Technology
535,"XPO, Inc.",189.05,22.15B,XPO,Trucking,Industrials
536,"Darden Restaurants, Inc.",192.49,22.05B,DRI,Restaurants,Consumer Discretionary
537,"PulteGroup, Inc.",114.63,22.05B,PHM,Residential Construction,Consumer Discretionary
538,NiSource Inc.,45.97,22.00B,NI,Utilities - Regulated Gas,Utilities
539,Pan American Silver Corp.,51.70,21.83B,PAAS,Gold,Materials
540,Wipro Limited,2.080,21.78B,WIT,Information Technology Services,Technology
541,Labcorp Holdings Inc.,264.20,21.77B,LH,Diagnostics & Research,Healthcare
542,Brookfield Renewable Partners L.P.,31.74,21.75B,BEP,Utilities - Renewable,Utilities
543,Regions Financial Corporation,25.16,21.73B,RF,Banks - Regional,Financials
544,"Brown & Brown, Inc.",63.43,21.59B,BRO,Insurance Brokers,Financials
545,BioNTech SE,85.68,21.53B,BNTX,Biotechnology,Healthcare
546,STERIS plc,219.40,21.52B,STE,Medical Devices,Healthcare
547,Quest Diagnostics Incorporated,195.51,21.51B,DGX,Diagnostics & Research,Healthcare
548,Loews Corporation,104.06,21.44B,L,Insurance - Property & Casualty,Financials
549,"Zscaler, Inc.",133.16,21.41B,ZS,Software - Infrastructure,Technology
550,KeyCorp,19.45,21.19B,KEY,Banks - Regional,Financials
551,Albemarle Corporation,179.45,21.15B,ALB,Specialty Chemicals,Materials
552,"Dollar Tree, Inc.",107.00,21.11B,DLTR,Discount Stores,Consumer Staples
553,Veralto Corporation,85.03,21.07B,VLTO,Pollution & Treatment Controls,Industrials
554,"CF Industries Holdings, Inc.",136.45,20.97B,CF,Agricultural Inputs,Materials
555,"Woodward, Inc.",351.17,20.94B,WWD,Aerospace & Defense,Industrials
556,Banco Santander (Brasil) S.A.,5.61,20.89B,BSBR,Banks - Regional,Financials
557,"Williams-Sonoma, Inc.",175.29,20.86B,WSM,Specialty Retail,Consumer Discretionary
558,Rogers Communications Inc.,38.49,20.86B,RCI,Telecom Services,Communication Services
559,Equifax Inc.,171.85,20.67B,EFX,Consulting Services,Industrials
560,Smurfit Westrock Plc,39.41,20.66B,SW,Packaging & Containers,Consumer Discretionary
